 1,       JW9,     10450
 2,        O8,      4200
 3,       JW9,      2200
 4,----------,      1000
 5,       JW9,       850
 6,       JW9,       700
 7,       JW9,       550
 8,       JW9,       550
 9,----------,       500
10,       JW9,       500
